intersection_id, city        , timestamp          , north_vehicle_count, south_vehicle_count, east_vehicle_count, west_vehicle_count, vehicle_type_distribution                    , avg_wait_time, queue_length, signal_phase, reward
              1, Chennai     , 2024-01-01 00:00:00,                  24,                  27,                 26,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        133.36,           18, East-West   , -85.72
              1, Chennai     , 2024-01-01 22:30:00,                  24,                  25,                 26,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        146.33,           15, North-South , -92.3
              2, Chennai     , 2024-01-02 00:00:00,                  23,                  22,                 25,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        132.28,           11, North-South , -82.77
              2, Chennai     , 2024-01-02 01:30:00,                  24,                  27,                 23,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.45,           15, East-West   , -89.07
              2, Chennai     , 2024-01-02 03:00:00,                  25,                  25,                 22,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        130.39,           14, East-West   , -82.63
              2, Chennai     , 2024-01-02 04:30:00,                  22,                  25,                 23,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        139.39,           11, North-South , -86.93
              2, Chennai     , 2024-01-02 06:00:00,                  24,                  23,                 27,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        142.9 ,           16, North-South , -90.84
              2, Chennai     , 2024-01-02 07:30:00,                  90,                  87,                102,                102, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        210.47,          241, East-West   , -198.78
              2, Chennai     , 2024-01-02 09:00:00,                  64,                  63,                 61,                 55, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        204.26,          131, North-South , -161.95
              2, Chennai     , 2024-01-02 10:30:00,                  61,                  54,                 55,                 60, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.3 ,          118, East-West   , -159.78
              2, Chennai     , 2024-01-02 12:00:00,                  77,                  83,                 82,                 85, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.87,          187, East-West   , -180.42
              2, Chennai     , 2024-01-02 13:30:00,                  75,                  87,                 78,                 86, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        215.05,          186, North-South , -185.13
              2, Chennai     , 2024-01-02 15:00:00,                  61,                  67,                 62,                 58, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        216.17,          136, East-West   , -170.5
              2, Chennai     , 2024-01-02 16:30:00,                  63,                  58,                 70,                 64, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        219.78,          143, East-West   , -174.77
              2, Chennai     , 2024-01-02 18:00:00,                  96,                  86,                 84,                 91, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        212.99,          217, North-South , -193.2
              2, Chennai     , 2024-01-02 19:30:00,                  98,                  83,                 90,                 96, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        215.0 ,          227, East-West   , -197.1
              2, Chennai     , 2024-01-02 21:00:00,                  26,                  26,                 26,                 27, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        147.11,           21, East-West   , -94.87
              2, Chennai     , 2024-01-02 22:30:00,                  26,                  26,                 24,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        131.74,           16, East-West   , -84.04
              3, Chennai     , 2024-01-03 00:00:00,                  23,                  25,                 22,                 22, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        134.32,            8, East-West   , -82.99
              3, Chennai     , 2024-01-03 01:30:00,                  23,                  25,                 22,                 22, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.36,            8, East-West   , -86.61
              3, Chennai     , 2024-01-03 03:00:00,                  25,                  24,                 26,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        134.05,           14, North-South , -84.83
              3, Chennai     , 2024-01-03 04:30:00,                  25,                  24,                 23,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        139.24,           11, North-South , -86.85
              3, Chennai     , 2024-01-03 06:00:00,                  27,                  26,                 25,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        139.31,           19, North-South , -89.29
              3, Chennai     , 2024-01-03 07:30:00,                  87,                  86,                 86,                101, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.67,          220, East-West   , -190.8
              3, Chennai     , 2024-01-03 09:00:00,                  56,                  59,                 58,                 61, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        203.31,          122, East-West   , -158.69
              3, Chennai     , 2024-01-03 10:30:00,                  64,                  61,                 55,                 54, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.45,          122, East-West   , -160.77
              3, Chennai     , 2024-01-03 12:00:00,                  78,                  82,                 79,                 80, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        221.94,          179, North-South , -187.16
              3, Chennai     , 2024-01-03 13:30:00,                  73,                  73,                 72,                 73, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.18,          151, East-West   , -170.91
              3, Chennai     , 2024-01-03 15:00:00,                  69,                  62,                 60,                 67, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        220.45,          146, East-West   , -176.07
              3, Chennai     , 2024-01-03 16:30:00,                  60,                  68,                 68,                 71, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.02,          155, East-West   , -172.01
              3, Chennai     , 2024-01-03 18:00:00,                  96,                  88,                 94,                 94, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        213.37,          232, North-South , -197.72
              3, Chennai     , 2024-01-03 19:30:00,                  97,                  88,                 81,                 97, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        213.11,          223, East-West   , -194.97
              3, Chennai     , 2024-01-03 21:00:00,                  25,                  24,                 23,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        148.06,           12, North-South , -92.44
              3, Chennai     , 2024-01-03 22:30:00,                  24,                  22,                 25,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        132.49,           11, East-West   , -82.89
              4, Chennai     , 2024-01-04 00:00:00,                  25,                  23,                 22,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        134.82,           12, East-West   , -84.49
              4, Chennai     , 2024-01-04 01:30:00,                  27,                  24,                 24,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        151.13,           17, North-South , -95.98
              4, Chennai     , 2024-01-04 03:00:00,                  26,                  25,                 24,                 27, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        131.84,           18, East-West   , -84.6
              4, Chennai     , 2024-01-04 04:30:00,                  23,                  23,                 25,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.56,           13, North-South , -88.54
              4, Chennai     , 2024-01-04 06:00:00,                  23,                  27,                 22,                 27, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        144.05,           15, East-West   , -90.93
              4, Chennai     , 2024-01-04 07:30:00,                  96,                 103,                 95,                 97, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        213.62,          251, North-South , -203.77
              4, Chennai     , 2024-01-04 09:00:00,                  54,                  57,                 65,                 64, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        200.91,          128, East-West   , -159.05
              4, Chennai     , 2024-01-04 10:30:00,                  58,                  61,                 54,                 65, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.3 ,          126, North-South , -164.88
              4, Chennai     , 2024-01-04 12:00:00,                  82,                  74,                 86,                 85, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        217.07,          187, East-West   , -186.64
              4, Chennai     , 2024-01-04 13:30:00,                  85,                  72,                 72,                 78, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        215.42,          167, North-South , -179.55
              4, Chennai     , 2024-01-04 15:00:00,                  71,                  69,                 69,                 64, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.09,          161, North-South , -171.96
              4, Chennai     , 2024-01-04 16:30:00,                  71,                  71,                 65,                 68, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        214.92,          163, North-South , -177.95
              4, Chennai     , 2024-01-04 18:00:00,                  98,                  91,                 85,                 93, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.61,          227, East-West   , -192.77
              4, Chennai     , 2024-01-04 19:30:00,                  94,                  90,                 96,                 90, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.75,          230, North-South , -195.05
              4, Chennai     , 2024-01-04 21:00:00,                  26,                  25,                 26,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        130.91,           16, North-South , -83.45
              4, Chennai     , 2024-01-04 22:30:00,                  24,                  27,                 24,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        146.65,           16, North-South , -92.79
              5, Chennai     , 2024-01-05 00:00:00,                  23,                  27,                 24,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        141.11,           13, North-South , -88.76
              5, Chennai     , 2024-01-05 01:30:00,                  23,                  22,                 23,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        126.63,            7, North-South , -78.38
              5, Chennai     , 2024-01-05 03:00:00,                  26,                  24,                 25,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        125.81,           14, East-West   , -79.68
              5, Chennai     , 2024-01-05 04:30:00,                  22,                  23,                 24,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        131.97,            8, North-South , -81.58
              5, Chennai     , 2024-01-05 06:00:00,                  25,                  22,                 26,                 27, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        138.92,           16, East-West   , -88.15
              5, Chennai     , 2024-01-05 07:30:00,                  89,                  92,                 94,                 97, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.16,          232, North-South , -193.59
              5, Chennai     , 2024-01-05 09:00:00,                  62,                  64,                 60,                 60, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        203.3 ,          134, North-South , -162.18
              5, Chennai     , 2024-01-05 10:30:00,                  58,                  54,                 57,                 56, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        201.81,          113, East-West   , -155.29
              5, Chennai     , 2024-01-05 12:00:00,                  84,                  79,                 73,                 80, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        208.92,          176, North-South , -178.15
              5, Chennai     , 2024-01-05 13:30:00,                  77,                  82,                 81,                 77, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.31,          177, East-West   , -178.79
              5, Chennai     , 2024-01-05 15:00:00,                  61,                  60,                 60,                 62, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.75,          131, North-South , -163.65
              5, Chennai     , 2024-01-05 16:30:00,                  71,                  59,                 63,                 71, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        210.61,          152, East-West   , -172.17
              5, Chennai     , 2024-01-05 18:00:00,                  97,                  91,                 91,                 86, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.06,          225, East-West   , -191.73
              5, Chennai     , 2024-01-05 19:30:00,                  85,                  83,                 91,                 86, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.49,          205, East-West   , -186.0
              5, Chennai     , 2024-01-05 21:00:00,                  24,                  23,                 22,                 27, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        138.68,           12, North-South , -86.81
              5, Chennai     , 2024-01-05 22:30:00,                  25,                  24,                 24,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        146.99,           13, North-South , -92.4
              6, Chennai     , 2024-01-06 00:00:00,                  27,                  23,                 22,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        142.51,           14, East-West   , -89.81
              6, Chennai     , 2024-01-06 01:30:00,                  23,                  23,                 26,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.02,           13, East-West   , -88.21
              6, Chennai     , 2024-01-06 03:00:00,                  24,                  24,                 24,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        141.82,           12, East-West   , -88.89
              6, Chennai     , 2024-01-06 04:30:00,                  25,                  27,                 25,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.42,           16, North-South , -89.25
              6, Chennai     , 2024-01-06 06:00:00,                  25,                  25,                 26,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        135.56,           18, East-West   , -86.83
              6, Chennai     , 2024-01-06 07:30:00,                  96,                  99,                102,                 91, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.06,          248, North-South , -200.13
              6, Chennai     , 2024-01-06 09:00:00,                  63,                  55,                 56,                 62, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.48,          124, North-South , -164.29
              6, Chennai     , 2024-01-06 10:30:00,                  58,                  56,                 64,                 61, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.63,          127, East-West   , -162.08
              6, Chennai     , 2024-01-06 12:00:00,                  80,                  81,                 72,                 85, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        221.16,          178, North-South , -186.4
              6, Chennai     , 2024-01-06 13:30:00,                  74,                  81,                 81,                 78, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        220.47,          174, North-South , -184.58
              6, Chennai     , 2024-01-06 15:00:00,                  71,                  69,                 60,                 70, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        213.79,          158, North-South , -175.67
              6, Chennai     , 2024-01-06 16:30:00,                  62,                  68,                 58,                 62, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.02,          138, North-South , -168.11
              6, Chennai     , 2024-01-06 18:00:00,                  94,                  89,                 85,                 89, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        202.35,          217, North-South , -186.81
              6, Chennai     , 2024-01-06 19:30:00,                  87,                  91,                 92,                 81, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        209.51,          211, East-West   , -189.11
              6, Chennai     , 2024-01-06 21:00:00,                  22,                  27,                 25,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        138.75,           15, East-West   , -88.05
              6, Chennai     , 2024-01-06 22:30:00,                  23,                  22,                 24,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        135.19,           10, North-South , -84.41
              7, Chennai     , 2024-01-07 00:00:00,                  24,                  25,                 23,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        142.02,           11, East-West   , -88.61
              7, Chennai     , 2024-01-07 01:30:00,                  24,                  22,                 23,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        128.89,           11, North-South , -80.83
              7, Chennai     , 2024-01-07 03:00:00,                  22,                  23,                 26,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        129.34,           10, East-West   , -80.7
              7, Chennai     , 2024-01-07 04:30:00,                  26,                  26,                 24,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        134.57,           17, North-South , -86.04
              7, Chennai     , 2024-01-07 06:00:00,                  23,                  22,                 23,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        141.23,            9, North-South , -87.54
              7, Chennai     , 2024-01-07 07:30:00,                  92,                  96,                 90,                 97, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.92,          235, East-West   , -194.95
              7, Chennai     , 2024-01-07 09:00:00,                  63,                  55,                 64,                 59, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        208.42,          129, North-South , -163.85
              7, Chennai     , 2024-01-07 10:30:00,                  60,                  61,                 57,                 55, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.17,          121, North-South , -163.2
              7, Chennai     , 2024-01-07 12:00:00,                  72,                  86,                 73,                 81, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        213.09,          172, North-South , -179.66
              7, Chennai     , 2024-01-07 13:30:00,                  72,                  74,                 86,                 85, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        210.38,          177, North-South , -179.33
              7, Chennai     , 2024-01-07 15:00:00,                  63,                  63,                 65,                 59, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        205.4 ,          138, North-South , -164.74
              7, Chennai     , 2024-01-07 16:30:00,                  63,                  62,                 63,                 67, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        210.03,          143, East-West   , -169.02
              7, Chennai     , 2024-01-07 18:00:00,                  94,                  84,                 81,                 85, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.4 ,          204, North-South , -185.74
              7, Chennai     , 2024-01-07 19:30:00,                  94,                  82,                 82,                 94, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        208.65,          212, East-West   , -188.99
              7, Chennai     , 2024-01-07 21:00:00,                  26,                  25,                 23,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        134.57,           15, North-South , -85.34
              7, Chennai     , 2024-01-07 22:30:00,                  24,                  23,                 25,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        147.9 ,           14, East-West   , -93.04
              8, Chennai     , 2024-01-08 00:00:00,                  23,                  24,                 23,                 27, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        144.64,           13, East-West   , -90.89
              8, Chennai     , 2024-01-08 01:30:00,                  25,                  27,                 22,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        150.87,           15, North-South , -95.12
              8, Chennai     , 2024-01-08 03:00:00,                  26,                  26,                 24,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        130.84,           18, North-South , -84.0
              8, Chennai     , 2024-01-08 04:30:00,                  25,                  24,                 26,                 22, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        138.14,           13, North-South , -86.89
              8, Chennai     , 2024-01-08 06:00:00,                  26,                  25,                 23,                 22, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.95,           12, East-West   , -88.47
              8, Chennai     , 2024-01-08 07:30:00,                 100,                 104,                 92,                100, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        213.83,          256, North-South , -205.3
              8, Chennai     , 2024-01-08 09:00:00,                  63,                  59,                 59,                 62, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        198.91,          131, East-West   , -158.95
              8, Chennai     , 2024-01-08 10:30:00,                  56,                  54,                 54,                 65, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        199.1 ,          117, North-South , -154.66
              8, Chennai     , 2024-01-08 12:00:00,                  84,                  73,                 78,                 86, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.93,          181, East-West   , -181.76
              8, Chennai     , 2024-01-08 13:30:00,                  75,                  87,                 82,                 81, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        201.4 ,          185, East-West   , -176.34
              8, Chennai     , 2024-01-08 15:00:00,                  68,                  63,                 59,                 71, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        219.3 ,          149, North-South , -176.38
              8, Chennai     , 2024-01-08 16:30:00,                  68,                  67,                 60,                 69, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        205.78,          152, North-South , -169.17
              8, Chennai     , 2024-01-08 18:00:00,                  82,                  96,                 85,                 83, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        225.16,          206, North-South , -197.2
              8, Chennai     , 2024-01-08 19:30:00,                  90,                  82,                 88,                 87, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        205.6 ,          207, East-West   , -185.76
              8, Chennai     , 2024-01-08 21:00:00,                  25,                  22,                 26,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.95,           13, East-West   , -88.57
              8, Chennai     , 2024-01-08 22:30:00,                  25,                  23,                 26,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        150.85,           16, North-South , -95.51
              9, Chennai     , 2024-01-09 00:00:00,                  25,                  25,                 25,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        139.91,           17, East-West   , -89.24
              9, Chennai     , 2024-01-09 01:30:00,                  23,                  24,                 26,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        139.64,           12, North-South , -87.68
              9, Chennai     , 2024-01-09 03:00:00,                  25,                  27,                 25,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        140.61,           16, North-South , -89.26
              9, Chennai     , 2024-01-09 04:30:00,                  25,                  27,                 24,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        147.1 ,           17, East-West   , -93.46
              9, Chennai     , 2024-01-09 06:00:00,                  24,                  26,                 22,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        137.34,           13, North-South , -86.6
              9, Chennai     , 2024-01-09 07:30:00,                 103,                  99,                 87,                 99, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        198.59,          248, North-South , -193.75
              9, Chennai     , 2024-01-09 09:00:00,                  62,                  59,                 57,                 65, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        206.36,          131, North-South , -163.12
              9, Chennai     , 2024-01-09 10:30:00,                  56,                  54,                 62,                 61, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        203.08,          121, North-South , -158.15
              9, Chennai     , 2024-01-09 12:00:00,                  78,                  82,                 78,                 76, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        215.17,          174, North-South , -181.3
              9, Chennai     , 2024-01-09 13:30:00,                  72,                  82,                 77,                 85, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        214.96,          176, East-West   , -181.77
              9, Chennai     , 2024-01-09 15:00:00,                  68,                  69,                 68,                 66, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        207.01,          159, North-South , -172.01
              9, Chennai     , 2024-01-09 16:30:00,                  64,                  60,                 60,                 67, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        201.87,          139, North-South , -162.92
              9, Chennai     , 2024-01-09 18:00:00,                  85,                  95,                 86,                 89, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        199.56,          215, East-West   , -184.44
              9, Chennai     , 2024-01-09 19:30:00,                  86,                  93,                 96,                 95, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        198.67,          230, East-West   , -188.2
              9, Chennai     , 2024-01-09 21:00:00,                  23,                  24,                 25,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        133.14,           14, North-South , -84.08
              9, Chennai     , 2024-01-09 22:30:00,                  24,                  22,                 22,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        137.9 ,            8, East-West   , -85.24
             10, Chennai     , 2024-01-10 00:00:00,                  23,                  23,                 25,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        134.11,           13, East-West   , -84.47
             10, Chennai     , 2024-01-10 01:30:00,                  26,                  26,                 26,                 24, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        144.37,           18, East-West   , -92.12
             10, Chennai     , 2024-01-10 03:00:00,                  24,                  25,                 25,                 26, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        125.49,           16, North-South , -80.09
             10, Chennai     , 2024-01-10 04:30:00,                  23,                  27,                 24,                 23, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        143.52,           13, North-South , -90.11
             10, Chennai     , 2024-01-10 06:00:00,                  23,                  27,                 27,                 25, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        130.83,           18, North-South , -83.9
             10, Chennai     , 2024-01-10 07:30:00,                  94,                 101,                 99,                 99, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        211.3 ,          253, East-West   , -202.98
             10, Chennai     , 2024-01-10 09:00:00,                  64,                  60,                 59,                 62, Bikes: 55%; Cars: 30%; Buses: 10%; Trucks: 5%,        216.33,          133, North-South , -169.8
